can_smiles,IC50_nM
*C(*)C1N=NC([C@H]2CC[C@H](Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)CC2)=N1,0.639
Brc1ccc2ncnc(N[C@H]3CC[C@H](N4CCOCC4)CC3)c2c1,5.0
Brc1ccc2ncnc(O[C@H]3CC[C@H](N4CCOCC4)CC3)c2c1,40.0
C#CCOc1cc2c(OC[C@@H]3CCC(=O)N3)nccc2cc1C(N)=O,1938.0
C/C(=N/O)c1cccc(-c2cc(Cl)c3cnn(-c4cccc(C)n4)c3c2)n1,5500.0
C/C(=N\O)c1cccc(-c2cc(N(C)C)c3cnn(-c4cccc(C)n4)c3c2)n1,550.0
C/C(O)=C(/C(=N)c1ccccc1)c1ccc2ncnc(N[C@H]3CC[C@H](N(C)C)CC3)c2c1,698.0
C=C(C)N1CCC(Oc2nc(Nc3cc(C)ns3)nc3ccn(-c4cnn(C)c4)c23)CC1,550.0
C=C(C)N1CCCC(Oc2nc(Nc3cc(C)ns3)nc3ccn(-c4cnn(C)c4)c23)C1,550.0
C=C(C)N[C@H]1CC[C@H](Nc2nc(Nc3cc(C)ns3)nc3ccn(-c4cnn(C)c4)c23)CC1,550.0
C=C(C)Nc1nc(Nc2cc(C)ns2)nc2ccn(-c3cnn(C4CCOCC4)c3)c12,550.0
C=C(C)c1nn([C@H]2CC[C@H](C(=O)N(C)CCCOCCCc3cccc4c3n(C)c(=O)n4C3CCC(=O)NC3=O)CC2)cc1NC(=O)c1coc(-c2ccnc(NCC3CC3)c2)n1,75.0
C=C(O)c1cccc(-n2ccc3nc(Nc4cc(C)ns4)nc(NC(C)C)c32)c1,5500.0
C=C(OCC)c1ccnc(-c2ccc3cnn(-c4cccc(CO[Si](C)(C)C(C)(C)C)n4)c3c2)n1,5500.0
C=C=COc1cc2c(OC[C@@H]3CCC(=O)N3)nccc2cc1C(N)=O,1948.0
C=CC(=O)N1CC2(CC(n3cc(-c4ccc(NC(=O)c5cccc(-c6ccn[nH]6)n5)nc4)nn3)C2)C1,1630.0
C=CC(=O)N1CC2(CC(n3cc(-c4ccc(NC(=O)c5cccc(-c6cnoc6)n5)nc4)nn3)C2)C1,3330.0
C=CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cc[nH]n5)n4)c(C(F)F)n3)C2)CC1,0.63
C=CC(=O)N1CCC(N2CC(n3cc(NC(=O)c4cccc(-c5cn[nH]c5)n4)c(C(F)F)n3)C2)CC1,2.5
C=CC(=O)N1CCC[C@@H](C(=O)Nc2ccc(NC(=O)c3cccc(-c4ccn[nH]4)n3)cc2F)C1,2510.0
C=CC(=O)N1CCC[C@@H](C(=O)Nc2ccc(NC(=O)c3cccc(-c4ccn[nH]4)n3)nc2)C1,722.0
C=CC(=O)N1CCC[C@@H](C(=O)Nc2ccc(NC(=O)c3cccc(-c4cnoc4)n3)cc2F)C1,2010.0
C=CC(=O)N1CCC[C@@H](C(=O)Nc2ccc(NC(=O)c3cccc(-c4cnoc4)n3)nc2)C1,3330.0
C=CC(=O)N1CCC[C@H](C(=O)Nc2ccc(NC(=O)c3cccc(-c4ccn[nH]4)n3)cc2F)C1,1110.0
C=CC(=O)N1CCC[C@H](C(=O)Nc2ccc(NC(=O)c3cccc(-c4ccn[nH]4)n3)nc2)C1,1870.0
C=CC(=O)NC12CC(C(=O)Nc3ccc(NC(=O)c4cccc(-c5ccn[nH]5)n4)cc3F)(C1)C2,9930.0
C=CC(=O)NC12CCC(Nc3cc(-c4ccc5cc(C#N)cnn45)ncc3C(=O)NC[C@@H](F)C(C)(C)O)(CC1)CC2,1.0
C=CC(=O)N[C@@H]1CNCC(C(=O)Nc2ccc(NC(=O)c3cccc(-c4ccn[nH]4)n3)nc2)C1,4000.0
C=CC(=O)N[C@H]1CC[C@H](NC(=O)c2cnc(-c3ccc4cc(C#N)cnn34)cc2NC2CCCC(O)C2)CC1,1.0
C=CC(=O)N[C@H]1CC[C@H](Nc2cc(-c3ccc4cc(C#N)cnn34)ncc2C(=O)NC[C@@H](F)C(C)(C)O)CC1,2.0
C=CCc1cn(-c2cnc(-n3ncc4cc(C#N)cnc43)cc2NC(C)C)nn1,298.0
C=CCn1c(NC(=O)c2cccc([N+](=O)[O-])c2)nc2ccccc21,1000.0
C=C[C@@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,3.4
C=C[C@H]1CC(=O)N[C@@H]1COc1nccc2cc(C(N)=O)c(OC)cc12,13.0
C=Cc1ccc(OC)c(NC(=O)c2cnn3cccnc23)c1,2748.0
C=Cc1ccc2ncnc(NC3CCC(N(C)C)CC3)c2c1,7.0
